"job_id","job_title","company","salary_year_avg","skills"
1110602,"HC Data Analyst , Senior","Illuminate Mission Solutions","375000.0","python"
1110602,"HC Data Analyst , Senior","Illuminate Mission Solutions","375000.0","r"
1110602,"HC Data Analyst , Senior","Illuminate Mission Solutions","375000.0","vba"
1110602,"HC Data Analyst , Senior","Illuminate Mission Solutions","375000.0","excel"
1110602,"HC Data Analyst , Senior","Illuminate Mission Solutions","375000.0","tableau"
1059665,"Data Analyst","Anthropic","350000.0","sql"
1059665,"Data Analyst","Anthropic","350000.0","python"
1500195,"Senior Data Analyst / Quant Analyst 1 yr Fixed Contract $300,000 ...","Eden Smith Group","340000.0","sql"
1500195,"Senior Data Analyst / Quant Analyst 1 yr Fixed Contract $300,000 ...","Eden Smith Group","340000.0","python"
1500195,"Senior Data Analyst / Quant Analyst 1 yr Fixed Contract $300,000 ...","Eden Smith Group","340000.0","spark"
1500195,"Senior Data Analyst / Quant Analyst 1 yr Fixed Contract $300,000 ...","Eden Smith Group","340000.0","airflow"
1500195,"Senior Data Analyst / Quant Analyst 1 yr Fixed Contract $300,000 ...","Eden Smith Group","340000.0","hadoop"
1500195,"Senior Data Analyst / Quant Analyst 1 yr Fixed Contract $300,000 ...","Eden Smith Group","340000.0","yarn"
1433800,"Senior Data Analyst","GradBay","240000.0","python"
1433800,"Senior Data Analyst","GradBay","240000.0","java"
1433800,"Senior Data Analyst","GradBay","240000.0","r"
1433800,"Senior Data Analyst","GradBay","240000.0","aws"
131527,"Senior Data Analyst","GradBay","240000.0","python"
131527,"Senior Data Analyst","GradBay","240000.0","java"
131527,"Senior Data Analyst","GradBay","240000.0","r"
131527,"Senior Data Analyst","GradBay","240000.0","aws"
144450,"Data Analyst","Anthropic","240000.0","sql"
144450,"Data Analyst","Anthropic","240000.0","python"
1713491,"Investigations and Insights Lead Data Analyst - USDS","TikTok","239777.5","sql"
1713491,"Investigations and Insights Lead Data Analyst - USDS","TikTok","239777.5","python"
1713491,"Investigations and Insights Lead Data Analyst - USDS","TikTok","239777.5","r"
1713491,"Investigations and Insights Lead Data Analyst - USDS","TikTok","239777.5","express"
